Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Ticker,Type,Industry,Weight
0.37933886278699785,0.6633852821514501,0.5416744574459238,-0.5230367187894869,ARM,Holding,Semi,0.009353234133069096
0.07755001660778536,0.33291220017993395,0.17286845173195953,-0.2736741247996198,XAIX.F,Comparison ETF,,0.0
0.15718911267076563,0.34698832107134625,0.3953709803465039,-0.3087663843187604,AMZN,Holding,Infrastructure,0.049339843613091516
0.30692646204526636,0.42064813049577743,0.6821056394737658,-0.32645885427214644,SMH,Comparison ETF,,0.0
0.08804407715732954,0.2181447176784802,0.31192172738107987,-0.18902206184283973,^SPX,Comparison ETF,,0.0
0.011074168037201081,0.19122484506989765,-0.046677156200787065,-0.16369224740128835,^DJI,Comparison ETF,,0.0
-0.15189886024088095,0.2864486534743047,-0.600103572336397,-0.3280367290095958,XB0T.DE,Comparison ETF,,0.0
0.17116697657803495,0.6258028270356597,0.24155687709832144,-0.38265483769176223,DUOL,Holding,Application,0.01577069621919407
0.16911737590772236,0.2710928062244726,0.5500602468375678,-0.22768303549553814,QQQ,Comparison ETF,,0.0
0.015283181505001972,0.29884958325195926,-0.0157832527108505,-0.29018240847764326,BOTZ,Comparison ETF,,0.0
0.9917107737691928,0.646838765878787,1.5022457295815268,-0.41149678246692867,AVGO,Holding,Semi,0.026306112444217458
0.2718719870104152,0.7592201333926075,0.3317509322163448,-0.612773789328776,VRT,Holding,Semi,0.013661796523116112
0.06236491246209881,0.408466045865197,0.10371709690670392,-0.23374820212233471,ASML,Holding,Semi,0.012293413307207407
0.25163885337734904,0.3718399618040708,0.6229530905002721,-0.32777589731902634,AIS,Comparison ETF,,0.0
-0.12483611374863117,0.7898442865687514,-0.183372996692588,-0.6078851116321052,MRVL,Holding,Semi,0.014563679369942803
-0.08210785260986245,0.6604358441331801,-0.1546067699336923,-0.48366534538662814,CFLT,Holding,Infrastructure,0.010898765995452262
1.1528093680945026,0.9878975056100686,1.1466871428073349,-0.0635813653695293,XAAI.PVT,Holding,Infrastructure,0.044667425228546026
0.08542307533244825,0.12417148451637389,0.5268768074027594,-0.07012598746082703,ANTH.PVT,Holding,Infrastructure,0.03557096581031123
0.21917578106942903,0.27108110539274083,0.7347460856073471,-0.23954442009108434,XAIX,Comparison ETF,,0.0
0.6962815482686158,1.087494268554414,0.6218713678073764,-0.5837433080726228,TEM,Holding,Application,0.016376289095871008
0.20261908106133789,0.4136501252725525,0.44148199143179484,-0.35221089473387057,SNPS,Holding,Semi,0.010264139679489293
-0.04573500738880913,0.3616641965832354,-0.1817570221488057,-0.24807974539284425,WDAY,Holding,Application,0.012955137499837338
0.3859326202806029,0.3739378267502624,0.9785921458141065,-0.313405801639715,CHAT,Comparison ETF,,0.0
0.18380654065482324,0.34397174850503,0.4762209145569636,-0.305146446057155,2330.TW,Holding,Semi,0.023241759483594276
0.26042994193757363,0.37483108774111,0.6414354353223627,-0.24038457779098057,2454.TW,Holding,Semi,0.008708066445303815
0.168495713135398,0.3113638259167619,0.4769202481957423,-0.2722998416743205,FDTX,Comparison ETF,,0.0
0.26192957445405834,0.4224175412382309,0.572726155606349,-0.35234468750226916,LOUP,Comparison ETF,,0.0
0.28448272219698006,0.2669675955101532,0.9906922287387547,-0.21825696503288844,MSFT,Holding,Infrastructure,0.05082504547753263
0.6473988071952274,0.4233615955751496,1.4819454899844824,-0.1945866090209442,ZS,Holding,Infrastructure,0.012361902446035994
